Username,Comment
@poojitha9489,Thank you! resolved
@user-it5bd6xz1t,really helpful
@tamilninamakkal,thank you sir ..... super
@ra5742,YOU ARE A LIFE SAVER BRO
@SHOKS22,"cool, i solved the problem! thanks"
@norianekrouf7279,very useful but can u explain why we get this problem?
@namtoonscomedy,Thank you 
@akashtyagi5972,Thanks
@TOK7O,thx it works
@deepakapoli5695,Thanks a lot bro
@programmingwithalex.585,My scrips folder is empty
@azrulashraf00,Thank you bro
@shihamfarook7291,Thanks bro
@bhagya1710,thanks!
@factsbuster56,Did not work for me. Same error again
@vngtechlabs,super sir thanks a lot
@spsujoypaul,Thank you
@venomop8901,"Thanks man, you rock."
@user-dp7zq7jm7t,wow great thank you sir
@vickysekhon4866,Your a good guy.
@malaymeshram,Bro thankyou so much 
@waqas2901,THANKS MAN..
@selexz_,"thanks, it worked!!"
@muhammadsaqib3655,it worked.....thank you
@dantefrigerio1076,"Tha mottherfucking Tech Support GOAT, solved my problem in 2 mins. Thx man!"
@mohamedaliabid4200,bravo keep going
@AasmaniKhazana,thank you sir it is working
@Legendsaimbot,Thanks!
@ashujain9888,Not working in my device
@zheandrizky2625,thank you brother
@alioalio8689,thxx man
@SanSan1234ui,Thank youuuuu!
@paxtonerskine6369,"still doesn't work

Doesn't work for me L("
@youneshabib9672,worked perfectly.
@humorousbaba8585,not helping bro
@Linas944turbo,Wish You to live forever!!!!
@mjeott9656,mine still not working 
@kallelausen,life saver right here
@gamerstudent163,thankyou
@t6yujikolp,Thanks man!
@reyhanadisaputra6594,not work man i already path thate
@nick4949,this didnt work for me sadly
@al7osane,thanks
@vivekranjan4420,thank you boss
@samyaktrivedi-rf4ro,thankyou brotherrr
@user-fx8ps3bg9i,not working
@Ale-rm2zk,genious!
@zahidalrazin8949,Thanks dude
@gerritjordaan,I am still getting the error even after your tutorial
@suhanichoudharry,bro thanks!
@Blablabla-rq3to,"cool, thanks a lot !!"
@ujjwalthapliyal43,thx for help
@kartikgawali9397, working bro 
@TurzoHossain-ue9qb,Thanks man
@Ryzedoc,didn't work
@faizaanshariff1274,you're the man!!
@therealMarineNeo1,awesome!
@litauolesia,vielen vielen Dank!
@Neymarfanboy11,nanni sahodara
@tenantdjc8146,Goat
@browniesTH,workkkkk
@unknownp4062,i labyuu papi hahahahha
@finnlatham2942,W video
@gandalffury127,I dont have the Path there so dislike.
@manoarjun1265,Thank you Bro
@user-jm9ud2wm3d,Thank you so much!
@eberecanada,Thank you so much
@andreiniculae8299,Thank you!
@Najm7777,Thank you! it worked!
@sinarchbishop5102,Thank you!!
@user-zd9jd6cn5p,thank you so much
@gutofps,Thanks
@huantien8716,thank you
@neorpg5960,Thanks bro
@user-rv3of1kn1k,not working
@user-uo6kc5yn2f,Thanks dude
@mrbaby6024,Thank you so much!
@ridoysharif2638,Thank you so much
@josephcolangelo3743,Thank you!
@ShashithNickz.,thank you
@memevmed6948,thank you
