Username,Comment,vader_sentiment
@ankithcv3441,Helped me.. txs,1
@AmendR,"Worked for me
 thanks",1
@romanali,thanks closing cmd solved the problem finally..,1
@emaretwo5812,Legend!!! thank you!,1
@therealanonymousay,Thank you!! This really helped!,1
@Marty-Back-Fly,"TY works for me ..   I did it before with java, but I wasn't sure I had to do the same  :D",1
@biswa3684,very helpful,1
@artisticintelligence69,thank you! it worked!,1
@bigcheeseontoast9829,"okay so my pip one now works
but my python has the same issue like it doesn't even make sense now",1
@user-vo1vv3ns4d,thank you so much,1
@Revy_Productions,You the man!,1
@Alex_762,Thank you!,1
@Sairam_ram,I have python 3.12 with 64 bit instead of 3.8 32-bit.  can I do same process,1
@rimir9366,Thank you very much sir ,1
@madriagajanjosephg.8047,still says python wqas not found,1
@user-qp4en9pg4l,Thanks bro !,1
@soandso2726,"Thank you, lifesaver",1
@user-vh8qq1xh2h,"thanks ,it works for me",1
@ibrahimahmethan586,"you saved my day
thanks!",1
@adityashetty5619,Thnx bro!!,1
@crafters5947,MAN IS A LIFE SAVER!!!!,1
@AryanASKSimpleKnowledge,Thank you so mucchh!!!!,1
@potatoman2442,Thank you so much ,1
@sheaikhnazib2806,Thank you very very much ,1
@user-mg2ut2rr3v,Thank you so much...,1
@surajchaubey3459,thank you so much now problem solved,1
@ddd-mg1pr,Very useful video,1
@Adarsh-vr5wy,"heyyy gyuss 


we can use below command , works for me, as i think they have changed alias name for cmd commands

py --version",1
@noirflakes,"thank you so much my random indian guy, wish you all the best!",1
@Aziz-fk4qb,thank you,1
@user-tp7rk5xj8l,thank you!!!,1
@bhaveshwagh2741,It is useful. Thank you,1
@anuragshahal6923,thanks a lot!! It actually worked,1
@lordzorp7851,your the man! thank you,1
@psycclopz,works ! thank you :),1
@zeeboz3310,thanks you saved my life,1
@34_khushaliladher45,thankyou verry verry much sir,1
@balajimunuswamy4159,Thank you verymuch,1
@walker2191,tnx so much,1
@abujayed8999,working tnx.,1
@Raniaska0306,Thank you for saving my life :),1
@poojitha9489,Thank you! resolved,1
@user-it5bd6xz1t,really helpful,1
@tamilninamakkal,thank you sir ..... super,1
@ra5742,YOU ARE A LIFE SAVER BRO,1
@SHOKS22,"cool, i solved the problem! thanks",1
@namtoonscomedy,Thank you ,1
@akashtyagi5972,Thanks,1
@TOK7O,thx it works,1
@deepakapoli5695,Thanks a lot bro,1
@azrulashraf00,Thank you bro,1
@shihamfarook7291,Thanks bro,1
@bhagya1710,thanks!,1
@vngtechlabs,super sir thanks a lot,1
@spsujoypaul,Thank you,1
@venomop8901,"Thanks man, you rock.",1
@user-dp7zq7jm7t,wow great thank you sir,1
@vickysekhon4866,Your a good guy.,1
@malaymeshram,Bro thankyou so much ,1
@waqas2901,THANKS MAN..,1
@selexz_,"thanks, it worked!!",1
@muhammadsaqib3655,it worked.....thank you,1
@dantefrigerio1076,"Tha mottherfucking Tech Support GOAT, solved my problem in 2 mins. Thx man!",1
@mohamedaliabid4200,bravo keep going,1
@AasmaniKhazana,thank you sir it is working,1
@Legendsaimbot,Thanks!,1
@ashujain9888,Not working in my device,1
@zheandrizky2625,thank you brother,1
@alioalio8689,thxx man,1
@SanSan1234ui,Thank youuuuu!,1
@paxtonerskine6369,"still doesn't work

Doesn't work for me L(",1
@youneshabib9672,worked perfectly.,1
@Linas944turbo,Wish You to live forever!!!!,1
@mjeott9656,mine still not working ,1
@kallelausen,life saver right here,1
@gamerstudent163,thankyou,1
@t6yujikolp,Thanks man!,1
@reyhanadisaputra6594,not work man i already path thate,1
@al7osane,thanks,1
@vivekranjan4420,thank you boss,1
@samyaktrivedi-rf4ro,thankyou brotherrr,1
@user-fx8ps3bg9i,not working,1
@Ale-rm2zk,genious!,1
@zahidalrazin8949,Thanks dude,1
@suhanichoudharry,bro thanks!,1
@Blablabla-rq3to,"cool, thanks a lot !!",1
@ujjwalthapliyal43,thx for help,1
@kartikgawali9397, working bro ,1
@TurzoHossain-ue9qb,Thanks man,1
@Ryzedoc,didn't work,1
@faizaanshariff1274,you're the man!!,1
@therealMarineNeo1,awesome!,1
@litauolesia,vielen vielen Dank!,1
@Neymarfanboy11,nanni sahodara,1
@tenantdjc8146,Goat,1
@browniesTH,workkkkk,1
@unknownp4062,i labyuu papi hahahahha,1
@finnlatham2942,W video,1
@manoarjun1265,Thank you Bro,1
@user-jm9ud2wm3d,Thank you so much!,1
@eberecanada,Thank you so much,1
@andreiniculae8299,Thank you!,1
@Najm7777,Thank you! it worked!,1
@sinarchbishop5102,Thank you!!,1
@user-zd9jd6cn5p,thank you so much,1
@gutofps,Thanks,1
@huantien8716,thank you,1
@neorpg5960,Thanks bro,1
@user-rv3of1kn1k,not working,1
@user-uo6kc5yn2f,Thanks dude,1
@mrbaby6024,Thank you so much!,1
@ridoysharif2638,Thank you so much,1
@josephcolangelo3743,Thank you!,1
@ShashithNickz.,thank you,1
@memevmed6948,thank you,1
